,tarih,gunluk_test,gunluk_vaka,gunluk_hasta,gunluk_vefat,gunluk_iyilesen,toplam_test,toplam_hasta,toplam_vefat,toplam_iyilesen,toplam_yogun_bakim,toplam_entube,hastalarda_zaturre_oran,agir_hasta_sayisi,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani,ortalama_filyasyon_suresi,ortalama_temasli_tespit_suresi,filyasyon_orani
0,22.01.2022,417.161,72.856,,184,89.926,,,,,,,,,,,,,,
1,21.01.2022,416.453,72.555,,181,87.192,,,,,,,,,,,,,,
2,20.01.2022,414.312,71.843,,166,85.948,,,,,,,,,,,,,,
3,19.01.2022,412.031,72.615,,176,84.426,,,,,,,,,,,,,,
4,18.01.2022,418.253,69.658,,157,77.612,,,,,,,,,,,,,,
5,17.01.2022,403.836,64.935,,162,72.106,,,,,,,,,,,,,,
6,16.01.2022,364.426,54.100,,136,68.895,,,,,,,,,,,,,,
7,15.01.2022,384.263,63.967,,177,52.016,,,,,,,,,,,,,,
8,14.01.2022,392.438,67.857,,167,56.256,,,,,,,,,,,,,,
9,13.01.2022,410.116,75.564,,153,51.675,,,,,,,,,,,,,,
10,12.01.2022,422.028,77.722,,145,42.573,,,,,,,,,,,,,,
11,11.01.2022,430.253,74.266,,137,39.226,,,,,,,,,,,,,,
12,10.01.2022,403.104,65.236,,141,38.242,,,,,,,,,,,,,,
13,09.01.2022,384.049,61.727,,173,35.163,,,,,,,,,,,,,,
14,08.01.2022,418.264,66.237,,141,34.592,,,,,,,,,,,,,,
15,07.01.2022,406.796,63.214,,157,29.197,,,,,,,,,,,,,,
16,06.01.2022,418.823,68.413,,156,25.502,,,,,,,,,,,,,,
17,05.01.2022,417.787,66.467,,143,29.316,,,,,,,,,,,,,,
18,04.01.2022,382.888,54.724,,137,26.561,,,,,,,,,,,,,,
19,03.01.2022,368.913,44.869,,160,27.492,,,,,,,,,,,,,,
20,02.01.2022,362.836,33.520,,129,22.161,,,,,,,,,,,,,,
21,01.01.2022,369.027,36.731,,145,23.325,,,,,,,,,,,,,,
22,31.12.2021,372.516,40.786,,163,23.968,,,,,,,,,,,,,,
23,30.12.2021,369.647,39.681,,139,24.854,,,,,,,,,,,,,,
24,29.12.2021,366.363,36.684,,142,25.638,,,,,,,,,,,,,,
25,28.12.2021,368.842,32.176,,184,23.104,,,,,,,,,,,,,,
26,27.12.2021,362.535,26.099,,157,22.024,,,,,,,,,,,,,,
27,26.12.2021,351.965,20.138,,173,21.214,,,,,,,,,,,,,,
28,25.12.2021,357.536,20.470,,145,22.109,,,,,,,,,,,,,,
29,24.12.2021,356.106,18.910,,133,20.351,,,,,,,,,,,,,,
30,23.12.2021,355.753,18.771,,168,21.605,,,,,,,,,,,,,,
31,22.12.2021,352.438,19.095,,179,22.816,,,,,,,,,,,,,,
32,21.12.2021,353.152,19.859,,187,25.532,,,,,,,,,,,,,,
33,20.12.2021,351.253,18.762,,176,24.497,,,,,,,,,,,,,,
34,19.12.2021,349.193,16.910,,171,22.858,,,,,,,,,,,,,,
35,18.12.2021,342.183,17.644,,191,25.568,,,,,,,,,,,,,,
36,17.12.2021,354.857,18.141,,190,24.245,,,,,,,,,,,,,,
37,16.12.2021,354.003,18.100,,167,25.664,,,,,,,,,,,,,,
38,15.12.2021,357.325,19.872,,193,25.239,,,,,,,,,,,,,,
39,14.12.2021,358.117,21.477,,181,24.042,,,,,,,,,,,,,,
40,13.12.2021,351.536,18.796,,171,23.242,,,,,,,,,,,,,,
41,12.12.2021,345.754,17.956,,182,22.648,,,,,,,,,,,,,,
42,11.12.2021,349.221,19.255,,191,23.180,,,,,,,,,,,,,,
43,10.12.2021,347.232,18.561,,176,25.129,,,,,,,,,,,,,,
44,09.12.2021,350.522,19.696,,195,27.263,,,,,,,,,,,,,,
45,08.12.2021,356.254,20.874,,192,29.883,,,,,,,,,,,,,,
46,07.12.2021,355.317,22.687,,198,24.366,,,,,,,,,,,,,,
47,06.12.2021,354.269,20.033,,187,25.611,,,,,,,,,,,,,,
48,05.12.2021,350.937,19.357,,185,24.278,,,,,,,,,,,,,,
49,04.12.2021,353.035,20.374,,228,19.463,,,,,,,,,,,,,,
50,03.12.2021,355.226,21.495,,187,20.193,,,,,,,,,,,,,,
51,02.12.2021,354.385,21.747,,192,22.284,,,,,,,,,,,,,,
52,01.12.2021,355.252,22.556,,196,24.113,,,,,,,,,,,,,,
53,30.11.2021,359.420,25.216,,207,24.498,,,,,,,,,,,,,,
54,29.11.2021,358.816,24.317,,189,23.273,,,,,,,,,,,,,,
55,28.11.2021,350.385,21.655,,213,20.007,,,,,,,,,,,,,,
56,27.11.2021,358.274,23.759,,192,25.103,,,,,,,,,,,,,,
57,26.11.2021,361.229,24.002,,201,25.341,,,,,,,,,,,,,,
58,25.11.2021,363.043,24.467,,222,29.639,,,,,,,,,,,,,,
59,24.11.2021,364.351,27.592,,175,28.285,,,,,,,,,,,,,,
60,23.11.2021,365.412,28.170,,208,29.353,,,,,,,,,,,,,,
61,22.11.2021,361.005,24.856,,193,28.935,,,,,,,,,,,,,,
62,21.11.2021,350.163,21.177,,195,34.290,,,,,,,,,,,,,,
63,20.11.2021,352.335,23.347,,201,29.163,,,,,,,,,,,,,,
64,19.11.2021,356.563,23.810,,218,28.749,,,,,,,,,,,,,,
65,18.11.2021,357.223,22.234,,226,29.538,,,,,,,,,,,,,,
66,17.11.2021,358.784,23.867,,229,28.543,,,,,,,,,,,,,,
67,16.11.2021,356.514,25.101,,227,27.447,,,,,,,,,,,,,,
68,15.11.2021,350.933,23.852,,215,25.258,,,,,,,,,,,,,,
69,14.11.2021,346.642,21.624,,189,20.550,,,,,,,,,,,,,,
70,13.11.2021,347.426,22.583,,215,25.254,,,,,,,,,,,,,,
71,12.11.2021,354.287,23.637,,217,25.164,,,,,,,,,,,,,,
72,11.11.2021,356.004,24.898,,197,24.360,,,,,,,,,,,,,,
73,10.11.2021,358.251,27.259,,203,27.513,,,,,,,,,,,,,,
74,09.11.2021,359.560,28.662,,196,28.859,,,,,,,,,,,,,,
75,08.11.2021,357.832,27.824,,187,28.255,,,,,,,,,,,,,,
76,07.11.2021,347.783,25.304,,200,28.852,,,,,,,,,,,,,,
77,06.11.2021,358.326,27.474,,203,30.584,,,,,,,,,,,,,,
78,05.11.2021,361.422,28.193,,198,32.201,,,,,,,,,,,,,,
79,04.11.2021,362.832,29.482,,228,34.743,,,,,,,,,,,,,,
80,03.11.2021,363.238,29.764,,246,33.366,,,,,,,,,,,,,,
81,02.11.2021,361.533,29.796,,224,29.837,,,,,,,,,,,,,,
82,01.11.2021,356.643,28.678,,217,29.296,,,,,,,,,,,,,,
83,31.10.2021,347.362,23.948,,201,26.175,,,,,,,,,,,,,,
84,30.10.2021,344.163,23.096,,203,28.632,,,,,,,,,,,,,,
85,29.10.2021,351.373,24.409,,209,30.846,,,,,,,,,,,,,,
86,28.10.2021,354.580,25.528,,229,27.651,,,,,,,,,,,,,,
87,27.10.2021,355.947,26.896,,210,30.542,,,,,,,,,,,,,,
88,26.10.2021,356.636,29.643,,215,31.467,,,,,,,,,,,,,,
89,25.10.2021,351.152,27.663,,232,30.824,,,,,,,,,,,,,,
90,24.10.2021,338.536,24.792,,195,24.403,,,,,,,,,,,,,,
91,23.10.2021,351.184,26.217,,217,27.663,,,,,,,,,,,,,,
92,22.10.2021,363.553,28.192,,228,30.302,,,,,,,,,,,,,,
93,21.10.2021,362.213,28.465,,198,29.160,,,,,,,,,,,,,,
94,20.10.2021,361.350,29.760,,214,28.803,,,,,,,,,,,,,,
95,19.10.2021,360.849,30.862,,223,27.352,,,,,,,,,,,,,,
96,18.10.2021,351.165,29.240,,214,26.539,,,,,,,,,,,,,,
97,17.10.2021,341.426,24.114,,186,24.403,,,,,,,,,,,,,,
98,16.10.2021,357.167,28.537,,212,25.611,,,,,,,,,,,,,,
99,15.10.2021,363.536,30.694,,181,25.513,,,,,,,,,,,,,,
100,14.10.2021,362.217,30.709,,203,26.461,,,,,,,,,,,,,,
101,13.10.2021,361.164,31.248,,236,30.331,,,,,,,,,,,,,,
102,12.10.2021,357.636,33.860,,237,30.110,,,,,,,,,,,,,,
103,11.10.2021,355.015,30.563,,188,33.861,,,,,,,,,,,,,,
104,10.10.2021,344.280,28.370,,196,25.772,,,,,,,,,,,,,,
105,09.10.2021,348.856,28.645,,206,24.217,,,,,,,,,,,,,,
106,08.10.2021,360.115,30.201,,188,28.167,,,,,,,,,,,,,,
107,07.10.2021,362.152,30.019,,217,32.240,,,,,,,,,,,,,,
108,06.10.2021,358.064,30.438,,236,31.413,,,,,,,,,,,,,,
109,05.10.2021,355.564,29.802,,228,32.269,,,,,,,,,,,,,,
110,04.10.2021,352.214,28.810,,248,33.152,,,,,,,,,,,,,,
111,03.10.2021,348.462,27.351,,194,22.004,,,,,,,,,,,,,,
112,02.10.2021,352.162,27.973,,203,22.110,,,,,,,,,,,,,,
113,01.10.2021,356.352,28.873,,210,26.224,,,,,,,,,,,,,,
